users in this chat 
MR_Degza_シ_(Reportam)__‌‌_‌‌_‌‌_‌‌_‌‌████████████████████████████████████████████████▅█▅█▅█▅▅█▅█▅█▅█▅██▅█▅█▅██▅█▅█▅█▅█▅█▅█▅█▅█▅█▅▅█▅█▅█▅█▅█▅█▅█▅█▅█▅█▅█▅█▅█▅█▅█▅██▅▅█▅█▅█▅█▅█▅█▅█▅█▅█▅▅█▅█▅█▅█▅█▅██▆█▆█▆▆█_Heh___●______fuck____________sick______________😠_REPORTAM‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_؟؟_‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_Heh___●______fuck____‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌_‌‌ [133478263] = 10
MR.TSUNAMI [145647835] = 9
🔱_POWERSUDO_🔱_⚜_†[_T_[ƒ]_B_]฿_⚜ [123064250] = 9
aqa_mp3 [121339696] = 9
ًًًٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍٍ👽morteza💀_ًٍٍٍٍٍَzɛ∂™__ـــــــpv=blockـــــ [132667916] = 8
✌ښُــلــيــڍݥ₱₷₲™ۺِڹاڂٺے؟✌ [157059515] = 8
ρ۪єzн۠мαٜη_нεℓℓ_❗️_Reportam_❗️_________‌__________‌_____—-🙄🙄____________🙄🙄_—-🙄🙄____________🙄🙄_—-🙄🙄🙄🙄🙄🙄🙄_—-🙄🙄🙄🙄🙄🙄🙄_—-🙄🙄___________🙄🙄_—-🙄🙄___________🙄🙄_—-🙄🙄___________🙄🙄_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌‌‌‌‌‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌‌‌‌‌‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌‌‌‌‌‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌‌‌‌‌‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌‌‌‌‌‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌‌‌‌‌‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌_‌‌‌ [123649999] = 8
amir_mohamad_hosseini [82322663] = 8
DARK_ANGEL [155236071] = 7
👑Å$ĦKÅИ👑_🦂👑$ĦÅĦ👑 [144659458] = 7
